iter	RMSE
0	391005.5655
1	378886.8364
2	369109.1346
3	359235.2602
4	348929.5537
5	340001.2097
6	330774.1223
7	322717.3529
8	315417.3831
9	308165.9563
10	300841.1754
11	294788.7062
12	288067.2289
13	282301.9667
14	276618.5635
15	271295.0958
16	265718.2189
17	260685.7715
18	255964.1056
19	252258.5096
20	248136.7148
21	244637.7911
22	240765.1028
23	237127.6121
24	233806.2938
25	230675.8917
26	228016.0511
27	225321.6549
28	222603.273
29	220224.6508
30	217769.4767
31	215765.5264
32	213656.9851
33	211861.2163
34	210040.2735
35	207702.0202
36	205742.8747
37	204109.6601
38	202431.3237
39	200984.2258
40	199829.8228
41	198708.6018
42	197557.2721
43	196272.5515
44	194980.6531
45	193670.4933
46	192549.1092
47	191422.1475
48	190701.6776
49	189683.2768
50	188665.3244
51	187950.6872
52	187323.8335
53	186278.3467
54	185518.1429
55	184597.0061
56	183755.3376
57	183013.1433
58	182447.07
59	181783.9925
60	181198.0553
61	180623.3711
62	179943.6825
63	179306.7151
64	178843.0259
65	178334.8161
66	177634.6093
67	177023.5952
68	176647.8873
69	176159.5687
70	175794.9356
71	175480.4851
72	175004.4877
73	174627.1929
74	173889.4535
75	173688.8357
76	173434.8688
77	173090.876
78	172740.286
79	172514.9563
80	172299.2601
81	171986.4826
82	171694.0933
83	171356.6582
84	171027.292
85	170775.141
86	170388.5274
87	170289.6702
88	170064.1116
89	169834.0218
90	169574.0094
91	169375.6184
92	168775.46
93	168681.9362
94	168466.3285
95	168220.7547
96	167757.506
97	167566.2297
98	167287.6584
99	167123.1095
100	166863.6499
101	166527.7869
102	166301.9818
103	166102.3603
104	165827.277
105	165612.6912
106	165148.5006
107	164966.9967
108	164691.5627
109	164550.8904
110	164373.1438
111	164251.4413
112	163876.3384
113	163749.9121
114	163651.2512
115	163517.7892
116	163386.7149
117	162973.5905
118	162789.5648
119	162519.5296
120	162391.6255
121	162072.663
122	161961.6238
123	161776.6605
124	161648.3321
125	161414.7458
126	161314.3757
127	161083.687
128	160997.3201
129	160867.2102
130	160569.7554
131	160216.1864
132	160079.7723
133	159978.6743
134	159843.8653
135	159739.531
136	159621.169
137	159315.6379
138	159164.1106
139	158915.5928
140	158784.7493
141	158621.2752
142	158438.5981
143	158314.7916
144	158194.7323
145	158042.169
146	157839.6279
147	157652.0656
148	157578.9519
149	157441.9673
150	157351.8327
151	157194.7182
152	156969.2514
153	156917.4447
154	156777.2307
155	156670.9998
156	156659.8717
157	156533.7149
158	156378.2769
159	156241.181
160	156118.4075
161	155972.3129
162	155742.132
163	155605.4159
164	155449.6507
165	155358.5748
166	155191.2787
167	155100.2663
168	154955.3811
169	154810.7358
170	154622.1843
171	154453.4864
172	154288.2446
173	154034.9896
174	153905.23
175	153773.5339
176	153714.9723
177	153574.4857
178	153490.0611
179	153422.1045
180	153217.9428
181	153093.3346
182	152997.1918
183	152730.6596
184	152681.9342
185	152607.6129
186	152483.5519
187	152343.3588
188	152259.3515
189	152179.4182
190	152091.7352
191	151977.2649
192	151862.9632
193	151693.8523
194	151485.939
195	151366.4985
196	151185.8543
197	151111.9341
198	151018.4934
199	150933.3017
