iter	Passed	Remaining
0	2	484
1	4	445
2	6	402
3	8	393
4	9	384
5	12	397
6	14	396
7	16	388
8	18	385
9	19	378
10	21	373
11	23	367
12	25	364
13	27	361
14	29	358
15	31	356
16	32	355
17	34	351
18	36	348
19	37	340
20	39	338
21	42	344
22	44	342
23	46	341
24	48	340
25	51	346
26	53	344
27	56	346
28	58	344
29	60	342
30	62	340
31	64	338
32	66	335
33	68	333
34	70	333
35	72	331
36	74	329
37	76	328
38	78	325
39	80	323
40	83	322
41	85	321
42	87	319
43	89	317
44	91	315
45	93	312
46	95	311
47	97	309
48	100	308
49	102	306
50	104	304
51	105	301
52	107	299
53	110	297
54	112	295
55	114	294
56	116	292
57	118	290
58	120	288
59	122	286
60	124	284
61	126	282
62	128	280
63	130	278
64	132	276
65	135	274
66	137	272
67	139	270
68	141	268
69	143	266
70	145	264
71	147	262
72	149	260
73	151	258
74	153	256
75	155	254
76	157	252
77	160	250
78	162	248
79	164	246
80	166	243
81	167	241
82	169	239
83	172	238
84	174	236
85	176	234
86	178	232
87	180	229
88	182	227
89	184	225
90	187	224
91	189	222
92	191	220
93	193	217
94	195	215
95	197	213
96	199	211
97	201	209
98	204	208
99	206	206
100	208	204
101	210	202
102	212	200
103	214	197
104	216	195
105	218	194
106	220	192
107	223	190
108	225	188
109	227	185
110	229	183
111	231	181
112	233	179
113	236	178
114	238	176
115	240	173
116	242	171
117	244	169
118	246	167
119	251	167
120	253	165
121	255	163
122	257	161
123	259	159
124	261	157
125	263	154
126	265	152
127	267	150
128	270	148
129	271	146
130	274	144
131	276	142
132	278	140
133	280	137
134	282	135
135	284	133
136	285	131
137	288	129
138	289	127
139	291	125
140	293	122
141	295	120
142	297	118
143	299	116
144	302	114
145	304	112
146	306	110
147	308	108
148	310	106
149	312	104
150	314	101
151	316	99
152	317	97
153	319	95
154	321	93
155	323	91
156	324	88
157	326	86
158	328	84
159	330	82
160	332	80
161	334	78
162	336	76
163	339	74
164	341	72
165	343	70
166	345	68
167	347	66
168	349	64
169	350	61
170	352	59
171	354	57
172	356	55
173	358	53
174	361	51
175	363	49
176	365	47
177	366	45
178	368	43
179	370	41
180	372	39
181	374	37
182	376	34
183	378	32
184	380	30
185	382	28
186	389	27
187	392	25
188	394	22
189	396	20
190	398	18
191	400	16
192	402	14
193	405	12
194	407	10
195	409	8
196	411	6
197	413	4
198	415	2
199	417	0
